group,list,edad,sexo,estudios,word,cue,response,recall,group
Intencional,A,21,Mujer,6,ELEFANTE,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,CHOCOLATE,S,4,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,PAZ,S,1,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,PRECIPICIO,A,Desagradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,BIKINI,S,3,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,MAR,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,COCODRILO,S,4,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,BUITRE,A,Desagradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,IGLESIA,S,3,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,VOLCAN,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,AVISPA,S,3,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,FLOR,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,ZAPATO,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,DELFIN,S,2,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,ENSALADA,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,TERREMOTO,S,4,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,GUSANO,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,FRESA,A,Agradable,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
Intencional,A,21,Mujer,6,DESIERTO,S,3,FRESA MIEL RINOCERONTE VOLCAN FRAA­O SOL HUESO ENSALADA CHOCOLATE IGLESIA VINO BUITRE COCODRILO ELEFANTE,
,A,22,Hombre,19,HUESO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,MIEL,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,RINOCERONTE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,CAMA,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,TORNADO,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,SOL,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,TANQUE,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,VINO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,MOSCA,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,LENTEJAS,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,FRIO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,ELEFANTE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,CHOCOLATE,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,PAZ,S,1,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,PRECIPICIO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,BIKINI,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,MAR,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,COCODRILO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,BUITRE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,IGLESIA,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,VOLCAN,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,AVISPA,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,FLOR,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,ZAPATO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,DELFIN,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,ENSALADA,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,TERREMOTO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,GUSANO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,FRESA,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,A,22,Hombre,19,DESIERTO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA,Intencional
,B,22,Hombre,6,HUESO,S,2,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,MIEL,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,RINOCERONTE,S,5+,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,CAMA,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,TORNADO,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,SOL,S,1,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,TANQUE,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,VINO,S,2,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,MOSCA,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,LENTEJAS,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,FRIO,S,2,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,ELEFANTE,S,4,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,CHOCOLATE,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,PAZ,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,PRECIPICIO,S,5+,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,BIKINI,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,MAR,S,1,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,COCODRILO,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,BUITRE,S,3,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,IGLESIA,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,VOLCAN,S,2,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,AVISPA,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,FLOR,S,1,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,ZAPATO,S,3,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,DELFIN,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,ENSALADA,S,4,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,TERREMOTO,A,Desagradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,GUSANO,S,3,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,FRESA,S,2,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,B,22,Hombre,6,DESIERTO,A,Agradable,TANQUE COCODRILO MIEL PAZ SOL DELFIN ELEFANTE,Incidental
,A,23,Hombre,7,HUESO,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,MIEL,S,1,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,RINOCERONTE,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,CAMA,S,2,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,TORNADO,S,4,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,SOL,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,TANQUE,S,2,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,VINO,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,MOSCA,S,2,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,LENTEJAS,S,3,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,FRIO,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,ELEFANTE,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,CHOCOLATE,S,4,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,PAZ,S,1,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,PRECIPICIO,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,BIKINI,S,3,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,MAR,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,COCODRILO,S,4,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,BUITRE,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,IGLESIA,S,3,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,VOLCAN,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,AVISPA,S,3,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,FLOR,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,ZAPATO,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,DELFIN,S,2,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,ENSALADA,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,TERREMOTO,S,4,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,GUSANO,A,Desagradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,FRESA,A,Agradable,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,A,23,Hombre,7,DESIERTO,S,3,SOL ZAPATO MAR MIEL PRECIPICIO,Incidental
,B,51,Mujer,9,HUESO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,MIEL,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,RINOCERONTE,S,5+,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,CAMA,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,TORNADO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,SOL,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,TANQUE,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,VINO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,MOSCA,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,LENTEJAS,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,FRIO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,ELEFANTE,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,CHOCOLATE,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,PAZ,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,PRECIPICIO,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,BIKINI,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,MAR,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,COCODRILO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,BUITRE,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,IGLESIA,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,VOLCAN,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,AVISPA,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,FLOR,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,ZAPATO,S,3,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,DELFIN,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,ENSALADA,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,TERREMOTO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,GUSANO,S,3,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,FRESA,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,51,Mujer,9,DESIERTO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO,Incidental
,B,52,Hombre,1,HUESO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,MIEL,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,RINOCERONTE,S,5+,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,CAMA,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,TORNADO,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,SOL,S,1,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,TANQUE,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,VINO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,MOSCA,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,LENTEJAS,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,FRIO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,ELEFANTE,S,3,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
,B,52,Hombre,1,CHOCOLATE,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS,Intencional
